1 [N] [V] [C] [S]
2 [S] [N] [H] [J] [M] [Z]
3 [D] [N] [J] [G] [T] [C] [M]
4 [M] [R] [W] [J] [F] [D] [T]
5 [H] [F] [P] 
6 [J] [H] [Z] [T] [C]
7 [Z] [L] [S] [F] [Q] [R] [P] [D]
8 [W] [P] [F] [D] [H] [L] [S] [C]
9 [Z] [G] [N] [F] [P] [M] [S] [D]

move 3 crates from stack 9 to 6
move 7 crates from stack 6 to 2
move 1 crates from stack 1 to 5
move 7 crates from stack 7 to 1
move 3 crates from stack 9 to 7
move 1 crates from stack 9 to 1
move 1 crates from stack 7 to 2
move 11 crates from stack 1 to 8
move 9 crates from stack 8 to 2
move 1 crates from stack 6 to 7
move 3 crates from stack 7 to 3
move 7 crates from stack 3 to 4
move 9 crates from stack 8 to 7
move 3 crates from stack 3 to 1
move 2 crates from stack 5 to 2
move 6 crates from stack 7 to 3
move 1 crates from stack 1 to 7
move 1 crates from stack 9 to 2
move 1 crates from stack 5 to 3
move 1 crates from stack 8 to 2
move 2 crates from stack 7 to 5
move 1 crates from stack 1 to 4
move 3 crates from stack 5 to 8
move 2 crates from stack 8 to 7
move 1 crates from stack 8 to 9
move 7 crates from stack 3 to 1
move 8 crates from stack 2 to 5
move 3 crates from stack 7 to 3
move 1 crates from stack 5 to 1
move 1 crates from stack 9 to 6
move 1 crates from stack 7 to 4
move 1 crates from stack 6 to 3
move 1 crates from stack 7 to 1
move 9 crates from stack 4 to 5
move 8 crates from stack 1 to 2
move 3 crates from stack 3 to 2
move 1 crates from stack 1 to 6
move 7 crates from stack 5 to 6
move 1 crates from stack 1 to 5
move 1 crates from stack 3 to 5
move 21 crates from stack 2 to 3
move 8 crates from stack 6 to 3
move 5 crates from stack 4 to 9
move 9 crates from stack 3 to 8
move 17 crates from stack 3 to 5
move 6 crates from stack 2 to 1
move 2 crates from stack 9 to 1
move 3 crates from stack 3 to 6
move 3 crates from stack 2 to 5
move 7 crates from stack 8 to 2
move 3 crates from stack 6 to 9
move 2 crates from stack 2 to 4
move 1 crates from stack 2 to 6
move 2 crates from stack 2 to 6
move 2 crates from stack 6 to 5
move 1 crates from stack 6 to 1
move 2 crates from stack 2 to 7
move 1 crates from stack 8 to 2
move 4 crates from stack 9 to 1
move 4 crates from stack 1 to 6
move 1 crates from stack 8 to 5
move 3 crates from stack 6 to 9
move 1 crates from stack 9 to 1
move 2 crates from stack 9 to 2
move 4 crates from stack 4 to 5
move 1 crates from stack 7 to 8
move 1 crates from stack 7 to 5
move 8 crates from stack 1 to 8
move 1 crates from stack 1 to 9
move 1 crates from stack 6 to 8
move 2 crates from stack 2 to 6
move 1 crates from stack 1 to 3
move 1 crates from stack 2 to 5
move 1 crates from stack 3 to 4
move 3 crates from stack 9 to 4
move 4 crates from stack 4 to 1
move 29 crates from stack 5 to 1
move 2 crates from stack 6 to 3
move 2 crates from stack 3 to 5
move 2 crates from stack 5 to 9
move 7 crates from stack 8 to 1
move 3 crates from stack 8 to 6
move 6 crates from stack 1 to 6
move 2 crates from stack 9 to 8
move 2 crates from stack 5 to 3
move 3 crates from stack 5 to 6
move 2 crates from stack 5 to 6
move 1 crates from stack 5 to 1
move 2 crates from stack 3 to 9
move 1 crates from stack 8 to 6
move 1 crates from stack 8 to 3
move 1 crates from stack 3 to 5
move 5 crates from stack 1 to 5
move 5 crates from stack 6 to 2
move 25 crates from stack 1 to 9
move 9 crates from stack 9 to 3
move 7 crates from stack 6 to 8
move 9 crates from stack 5 to 9
move 2 crates from stack 6 to 5
move 6 crates from stack 9 to 7
move 1 crates from stack 6 to 8
move 3 crates from stack 2 to 1
move 3 crates from stack 8 to 1
move 5 crates from stack 9 to 6
move 3 crates from stack 9 to 1
move 4 crates from stack 6 to 9
move 2 crates from stack 7 to 4
move 1 crates from stack 4 to 1
move 1 crates from stack 6 to 2
move 7 crates from stack 1 to 6
move 1 crates from stack 9 to 8
move 9 crates from stack 3 to 9
move 5 crates from stack 1 to 7
move 1 crates from stack 5 to 7
move 3 crates from stack 1 to 7
move 3 crates from stack 6 to 7
move 8 crates from stack 9 to 1
move 3 crates from stack 7 to 3
move 1 crates from stack 5 to 6
move 3 crates from stack 1 to 7
move 4 crates from stack 1 to 4
move 2 crates from stack 8 to 5
move 1 crates from stack 4 to 2
move 3 crates from stack 2 to 7
move 2 crates from stack 6 to 4
move 1 crates from stack 1 to 2
move 18 crates from stack 7 to 5
move 1 crates from stack 7 to 5
move 1 crates from stack 2 to 3
move 4 crates from stack 5 to 9
move 1 crates from stack 2 to 1
move 2 crates from stack 3 to 9
move 2 crates from stack 3 to 4
move 2 crates from stack 6 to 5
move 1 crates from stack 8 to 3
move 4 crates from stack 9 to 7
move 1 crates from stack 1 to 9
move 3 crates from stack 5 to 2
move 2 crates from stack 8 to 6
move 2 crates from stack 6 to 1
move 5 crates from stack 5 to 7
